"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1016","Юзер не может сделать депозит на невалидную сумму [1] invalidAmount=-1.0, expectedErrorMessage=Deposit amount must be at least 0.01","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.makesdeposit.UserMakesDepositNegativeTest","apisenior.onlyapi.makesdeposit.UserMakesDepositNegativeTest","userMakesInvalidDeposit"
"","1335","Юзер переводит деньги с одного своего аккаунта на другой","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.transfermoney.UserTransferMoneyTest","apisenior.onlyapi.transfermoney.UserTransferMoneyTest","userTransferMoneyFromOneAccToAnotherAcc"
"","507","Юзер не может сменить имя, используя невалидное имя [5] invalidName=0, expectedErrorMessage=Name must contain two words with letters only","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.changename.UserChangeNameNegativeTest","apisenior.onlyapi.changename.UserChangeNameNegativeTest","userCantChangeName"
"","842","Юзер делает депозит","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.makesdeposit.UserMakesDepositTest","apisenior.onlyapi.makesdeposit.UserMakesDepositTest","authUserMakesDeposit"
"","816","Юзер не может сделать депозит на невалидную сумму [3] invalidAmount=5001.0, expectedErrorMessage=Deposit amount cannot exceed 5000","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.makesdeposit.UserMakesDepositNegativeTest","apisenior.onlyapi.makesdeposit.UserMakesDepositNegativeTest","userMakesInvalidDeposit"
"","1504","Юзер не может переводить невалидную сумму при балансе 5000 [4] invalidSum=6000.0, expectedErrorMessage=Invalid transfer: insufficient funds or invalid accounts","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.transfermoney.UserTransferNegativeTest","apisenior.onlyapi.transfermoney.UserTransferNegativeTest","userTransferInvalidSumToUser"
"","827","Юзер не может сделать депозит на невалидную сумму [2] invalidAmount=0.0, expectedErrorMessage=Deposit amount must be at least 0.01","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.makesdeposit.UserMakesDepositNegativeTest","apisenior.onlyapi.makesdeposit.UserMakesDepositNegativeTest","userMakesInvalidDeposit"
"","502","Юзер не может сменить имя, используя невалидное имя [3] invalidName= , expectedErrorMessage=Name must contain two words with letters only","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.changename.UserChangeNameNegativeTest","apisenior.onlyapi.changename.UserChangeNameNegativeTest","userCantChangeName"
"","748","админ не может сменить имя другому юзеру","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.changename.UserChangeNameNegativeTest","apisenior.onlyapi.changename.UserChangeNameNegativeTest","userCantChangeNameOtherUser"
"","493","Юзер не может сменить имя, используя невалидное имя [4] invalidName=   , expectedErrorMessage=Name must contain two words with letters only","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.changename.UserChangeNameNegativeTest","apisenior.onlyapi.changename.UserChangeNameNegativeTest","userCantChangeName"
"","1567","Юзер не может переводить невалидную сумму при балансе 5000 [1] invalidSum=0.0, expectedErrorMessage=Transfer amount must be at least 0.01","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.transfermoney.UserTransferNegativeTest","apisenior.onlyapi.transfermoney.UserTransferNegativeTest","userTransferInvalidSumToUser"
"","15","discovery 401","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.changename.UserChangeNameNegativeTest","apisenior.onlyapi.changename.UserChangeNameNegativeTest","test401"
"","1568","Юзер не может переводить невалидную сумму при балансе 5000 [3] invalidSum=10001.0, expectedErrorMessage=Transfer amount cannot exceed 10000","","2026-06-16","passed","2026-06-16","","apisenior.onlyapi.transfermoney.UserTransferNegativeTest","apisenior.onlyapi.transfermoney.UserTransferNegativeTest","userTransferInvalidSumToUser"
